Name,Description,Location
minyeon_3012,"안녕하세요!😄.
저는 ARMY 입디다.💣
   Bangtan is my life🔥",
ipV71159633,buôn bán quần áo online,"Hải Dương, Vietnam"
MinhNgc59703591,,
QuangDn20092730,Semec hotel,"Thanh Hóa, Vietnam"
LLin43,,
HaiDang84322845,:)) Have fun with me :)),Vietnam
on35521651,,Vietnam
ConCNh1,,
Hu08423836,,
HaoPhamkk,0862470312,
lemonn80322755,,
hunhtin22381753,từ từ tính,"Bình Dương, Vietnam"
NguynTh54466042,Nguyễn Thị Mỹ Dung 280405,
buivanhoanh1305,,
BchVn02991833,,
NguyenQ47023975,I love dj and football,I Live In Viet Nam
kimtrathiensu,"Latest Twitch video: vụ Biden,Obama,chú cháu c.t Nguyễn Xuân Phúc ngịch thiên=đánh tôi phát động project phế Trump 2017 https://t.co/3fgEmUMcsr","Đà Nẵng, Việt Nam"
duyhungmyebook,Tin tức công nghệ,
HiVn56921217,,
_xich_cong_tu_,ngáo,"Minamisatsuma-shi, Kagoshima"
huynhphuong0,,"Bình Dương, Vietnam"
ThanhLn11,,
Thomas197tran,,"Yokohama, Japan "
hoanguy13718792,,
duonghangnhat,thích thì chơi,Sài Gòn
mtto48241947,,việt nam 
LastHope882,Có 1tâm hồn khép kín,"Ho Chi Minh, Vietnam"
truongduccuong5,,
buu96625531,,
tuan75198550,Âm nhạc Nhiếp ảnh Nhạc pop Văn hóa Ô tô Văn học Những hình ảnh Thú vị Bóng đá Nhạc La tinh Ngạc nhiên NBA Tin tức Khoa học Du lịch Nhạc R&B/Soul Xu hướng Phim,Việt Nam
Nga23524531,Xe,"Hanoi, Vietnam"
MrHuy07076949,,"Ho Chi Minh, Vietnam"
KEM32329746,Thích chân thành và nhẹ nhàng,Việt Nam
LuckKhoa,,
Mi85838863,,
HNgoc58860017,,
HuuThanhNguyen7,HuuThanhNguyen,Vietnam
Duc_mkt,Duc mkt - Digital marketing,United States
kin39602734,https://t.co/tzbMq67Epn,"Hà Nội, Việt Nam"
NguyenN95838399,"Tôi có một tình 😍 vào tuổi 0,2 thật sự là đáng nhớ nhất cho đến bây giờ...hhh!","Bà Rịa-Vũng Tàu, Việt Nam"
Jasmine29772293,,
Avdinh_arc,,"Hanoi, Vietnam"
Nngnng17,,
minhanh001,,
minhmyphu39,,
Hvnsn9,,
Phngct9,,
Ngocmy59263991,,
Quynhng56665635,,"Hanoi, Vietnam"
thintomy,,
Tnh23863411,,
DungDun35244004,nothing,Vietnam
HoiAnRiverside,,
MinhMaxi,,"Hồ Chí Minh, Việt Nam"
huuchinh228,,
thepdacbietchau,Chuyên cung cấp các loại thép hiện có trên thị trường tại thành phố Hồ Chí Minh,"Ho Chi Minh, Vietnam"
HngL44452122,,
thanhtung1610,,
lththutin9,là em gái mộng mơ,"Ho Chi Minh, Vietnam"
linh53112,,
tuankyto,"taiwan vlog đài loan ,","Taipei City, Taiwan"
xxx699699,,"Ho Chi Minh, Vietnam"
phantha20824310,,"Cà Mau, Vietnam"
phamdat20082000,,
SonHodastone,"Chuyên thiết kế, thi công và phân phối sản phẩm Sơn Đá Hòa Bình - Hodastone...Liên hệ: 0868.815.999",Quận 2. Tp Hồ Chí Minh
tranngocquynhn4,kiem tien,"Ho Chi Minh, Vietnam"
Thanhtu48974118,,
tranthihuyenmy1,,
DANGHAHUNG6789,*****,"Hà Giang, Vietnam"
pkdkhoancau,Phòng Khám Đa Khoa Hoàn Cầu là địa chỉ điều trị bệnh Phụ Khoa - Nam Khoa - Tai Mũi Họng- Xương Khớp - Bệnh Trĩ - Bệnh Xã Hội uy tín nhất tphcm,Quận 5 Tp Hồ Chí Minh Việt Nam
CuAnh02226497,,"Thái Bình, Vietnam"
Yn59099480,Huys Huys,"Quảng Ninh, Vietnam"
LNgcAnh28037364,,
TuytAnh93178676,ARMY,
Dungbbctel2017,,
TinLong5,Thích kinh doanh,"Đồng Nai, Vietnam"
NguynDimHnggma1,,
Yuritran20,,
HuyNgiyen,,Viet nam
TCryptaur,,"Hanoi, Vietnam"
hongtan30031993,Bước ra từ Bóng tối,"Ho Chi Minh, Vietnam"
CuongUyenKhanh1,,Vietnam
tnpht56278970,Trò chơi Trào lưu Công nghệ Đồ tự làm & Nhà cửa Doanh nghiệp & Tài chính Nuôi nấng con cái Holidays Truyền hình Thời tiết Tin tức công nghệ Hài hước Du lịch,"Ho Chi Minh, Vietnam"
cungdaovan1,Trung thuc. Yeu thien nhien. Thich kham pha,"Ho Chi Minh, Vietnam"
lyvuongquoctru2,,
danghoanggian11,luon vui ve hoa dong,Vietnam
OnlyYou32728679,,
Phuan2012,,"Hồ Chí Minh, Việt Nam"
lan54695805,bình yên,hà nội hà nội
jinngaga,Anh à!!! Thanh xuân của chúng ta giống như một cuộn giấy vệ sinh nhìn bên ngoài thì nhiều đấy nhưng xài lâu rồi cũng sẽ hết mà thôi!!!,"Tokyo, Japan"
soi_ba,,
Dimthphngngn1,,
bick_le,,
Nguyenrumrum1,,
NguyenTan8704,😉😘😍,"Mooka-shi, Tochigi"
AnhT23761973,,
lovanhu2,,
KimPhat52,trường MĐC Q6 SG,"Lâm Đồng, Vietnam"
dangluutrungki1,.........,"Hồ Chí Minh, Việt Nam"
DngNgc22778258,,
NguynAnhHoang2,,
ChauComputer,Máy tinh Minh Châu - Trùm máy tính - https://t.co/orApwMIFcC,Việt Nam
kmyk_2419,Hello!! I'm V-Army. Fan account for @BTS_twt🔥. 보라해 💜 Follow me ❤,"Đồng Nai, Việt Nam"
Nam18484770,,
hoangthan046,,daknong
CngHipNguyn1,,"Ho Chi Minh, Vietnam"
LeoTran22670888,,
dangsang14,Bóng đá Bóng đá Tin tức Chung Nhạc đồng quê Đáng yêu Văn học Thể thao điện tử Văn hóa Ô tô Kỳ dị Nuôi nấng con cái Âm nhạc Ngạc nhiên Đồ tự làm & Nhà cửa Haha,"Hai Phong, Vietnam"
HongVnNgc8,3 năm học nói - cả đời lắng nghe,"Thanh Hóa, Vietnam"
NhtThin06953200,,
brabcalbeka70,"#followback There are moments when everything goes well, but don`t be frightened, it won`t last. #InstantFollow #TeamFollowBack #TF #IFB #followcircle",東京都
hoangki03540966,,"Ho Chi Minh, Vietnam"
nhadat_net,https://t.co/VGYdcln5Pe là trang tin tức bất động sản số 1 tại Việt Nam,"Ho Chi Minh, Vietnam"
minhhuy701,Chính phủ & Chính trị Hài hước Thực phẩm,"Ho Chi Minh, Vietnam"
tranmin95985233,,
LuSang14,,
Doanngocsinh2,,
_KENT_kUTE_,Phong cách sống Người nổi tiếng Phong cách sống Nghệ thuật Chơi game Trò chơi Giải Trí Thể thao Bóng đá Âm nhạc,"Bắc Ninh, Vietnam"
Luansuaxe2,,
khoatg_11,#followback : #bitcointalk :#bounty : #ICO,
phan_neko,#cter,
Trantha79841036,,
VNgcQunhNhi3,,
Schizoin,Somebody that you used to know.,Việt Nam
nguynkhcquyt2,Tin tức Công nghiệp Tin tức Công nghiệp,"Bắc Giang, Vietnam"
E9pay_Vietnam,,
3006haplc1,,
Nhuxuantran1,Ăn và Đi,Việt Nam
LiemThien,,
vanhien8863569,Chúc mừng năm mới,
NgcHn62628654,,
ngoctho080489,,Việt Nam 
793Nolau,,
KvPhuong,Welcome to my world ✌,
longnb2,Kinh doanh thuốc -TPCN- oriflame,"Hanoi, Vietnam"
maytimvedau,🌾,Vietnam
VoDucTai4,,
QuocPha78958557,,
LuongVanHuy6,,
MinhPhuc251004,shinshon music,"Ho Chi Minh, Vietnam"
Nhocute1409333,,
trankimngan3001,I am Army BTS !!!🥰😝😝😝,
HinNam5,,
GamesLvh,,
LHieuhoang,,
taole468,,
LNgcHn04965148,,
Maithannthuy1,,
dathainguyen,"Chúng tôi đến từ Website: https://t.co/sJRK9VCAtf, tự hào là kênh thông tin gửi đến bạn những tin tức nhà đất Thái Nguyên hấp dẫn và mới nhất, chính xác nhất.",Vietnam
Nhat260823hope,Fan account for @BTS_twt,
PhamKhanhHoa4,,
Tranhoangtung10,,
HunhVnHoi3,,
KieuLamTran,,
dembongep,"Đệm bông ép chính hãng, giá tốt, vận chuyển miễn phí nội thành tại Hà Nội","Hanoi, Vietnam"
demloxogiatot,🤗,Vietnam
jnrq03,,
batethoheo,Thích ngủ,"Thừa Thiên Huế, Vietnam"
TaVuongn677777,,
caphethienphuoc,,"Ho Chi Minh, Vietnam"
anh_jos,sinh ngày: 03/11/2016,"Hà Tĩnh, Vietnam"
HAiQuachva,,
hoang51635240,,
Atshopvietnam,"Atshop
🍒Vật phẩm theo phong thủy
🍒Đồ dùng, trang trí văn phòng- nhà cửa
🍒Hàng gia dụng & đời sống
☎ ☎HOTLINE : 0906.896.009","Ho Chi Minh, Vietnam"
nguyncV31528891,,
Thng08291483,,"Oslo, Norway"
NguyenC00733010,,
LThng48789083,,
Bartivan3,Vui vẻ,"Khánh Hòa, Vietnam"
BchNgc29988969,,
phucdo15,,
MaiAnhKit2,,Vietnam
Dong30Nt,Youtuber :  Gamer NTĐ,"Đông Triều,Quảng Ninh, Việt Nam"
ThanhPhuHuynh2,Công nghệ Sức khỏe Phong cách sống Nuôi nấng con cái Thời trang & Làm đẹp Tin tức công nghệ Thực phẩm,Vietnam
TrnVGiang1,,
LangChuyen2,,
hai_quachvan,,
anhxa5,Mầm non đất nước,"Thái Nguyên, Vietnam"
QucThi54740284,,
tranhiep242,,
miennamseo2,"- Cung cấp gạch 3d, gạch tranh, gạch trang trí.
- Gạch 5d, gạch 8d. Tranh kính 3d, tranh kính 5d.
- Trần xuyên sáng, sàn epoxy
- Thiết kế Thi công xây dựng.","17 đường số 3A ( đường G13 cũ) Phường Bình Hưng Hòa B, Quận Bình Tân"
lincoln_dcosta,about me? .. :) thak na kisu rohosso hoye !!,
XAMATU2,I love music forever,Pyeongtaek-si
HoangVa29030962,Thich duoc di du lich,Viet nam
HongQuantb,https://t.co/RlH6F0Gwto,
nghidinhle,,"Hà Tĩnh, Vietnam"
HuyHoang6685,,
NguynLi27693936,,
Thuyvankhuynh,Rồi thời gian sẽ xóa đi tất cả ...😌😌,"Hòa Bình, Vietnam"
supermyloveee,,"Đắk Nông, Vietnam"
HieuMinhVu2,Người làm vc độc lập,
NguyenH59374720,,
Dangnhanbanxaho,Đặt nền tảng nhân bản là chủ đạo tư tưởng  nhằm chuyển hoá dân chủ và phát huy hoà đồng dân tộc để thực hiện giấc mơ chung: Một Việt Nam Mới  - Người Việt Mới.,United States
Kusako1206,南开大学研究生,People's Republic of China
dangtranngoctu,Nhiều lắm 🤣,"Ho Chi Minh, Vietnam"
Tuansson,!!!,
NhiPucca1102,Âm nhạc Nhạc pop Giải Trí Nghệ thuật Thời trang & Làm đẹp Xu hướng Đáng yêu Hài hước,"Hanoi, Vietnam"
Tnh14513118,zalo 01674995931,
Toanngu59646615,,
TuanAnh49953255,,
nguyeny573,,
KhanhPh67740825,,
Fancy37144037,,
hoangtieuho008,ahihi,"Hà Nội, Việt Nam"
team555666,,
anhduong563956,Bóng đá,"An Giang, Vietnam"
AeriEXOAeri12,,
game_moba_viet,Youtuber,Việt Nam
doducnhanh,,"Hanoi, Vietnam"
phungphuongtha1,,"Hanoi, Vietnam"
thanhthuong_,"Fb: Đỗ Trần Thanh Thương 
Instagram: thanhthuong307
Dù chỉ là 1s bạn cũng có thể là người đến sau",Việt Nam
Vunongkim,Idol gosu yêu vayne,"Cao Bằng, Vietnam"
Tonydoan1981,,
dieuson14,vui,
TranHuo19890839,,
nguyenvinh67,Nhiếp ảnh Chính trị Tin tức Thế giới Tin tức Hoa Kỳ Những hình ảnh Thú vị Phóng viên & Chuyên gia công nghệ Cơ quan & Quan chức Chính phủ Bóng đá,"Hồ Chí Minh, Việt Nam"
phmvnhn70584913,,
xunDuy10,Việt nam .....hanoi .,
nguyenquoc2809,Chuyên cung cấp và lắp đặt thang máy,"Hanoi, Vietnam"
dangmyai,Chơi game,Vietnam
DoiNoHungThinh,"Công Ty Cổ Phần Dịch Vụ Đòi Nợ Hưng ThịnhĐ/c: 43B Điện Biên Phủ ,P15,Quận Bình Thạnh,TPHCM Hotline: 0982 902 345 - 0902 450 567 Web: https://t.co/tkfCQiGgkD","Ho Chi Minh, Vietnam"
phukienphat,Phụ kiện iphone,"Hà Nội, Việt Nam"
Thanhsoociu,,
HIEUQUANGBUI,,Vietnam
LKhcKim3,,
TiuTrngLnh1,,
Haminhtu121,Doanh nghiệp & Tài chính Doanh nghiệp & Tài chính,"Lâm Đồng, Vietnam"
ThanhTu42626188,,
vo_rosy,Like,
LuckyShop2018,I'm Luu Tung. I'm from Vietnam. I love business,"Hanoi, Vietnam"
nguynph19689317,,"Thừa Thiên Huế, Việt Nam"
Kimquyen123a,,
SanTatsu1428,Be Live,"Ho Chi Minh, Vietnam"
Trngchhng3,,
OnlyLov30632035,,
DonaldTrung5,,"Ho Chi Minh, Vietnam"
LLong80498430,,
JHappy19581628,You may only be one person to the world but you may be the world to one person .,"Hồ Chí Minh, Việt Nam"
LeXuanNguyen6,An ngu,"Ho Chi Minh, Vietnam"
Baotran3045403,"cui bap,tin tuc viet nam","My tho,tien giang"
PhmThTh50320018,,
dang737881,,
UtHuogOk7544253,Me yeu con. Long Me bao la,Han Quoc
Eunsols1,,"Lạng Sơn, Việt Nam"
pt_oto_manhhung,,
trung715a,,
DoDinhHng1,,
TrnNgcSng7,,"Kiên Giang, Vietnam"
NguynThMChi8,Học sinh,"Đồng Tháp, Vietnam"
sotumkin,Mong muốn kiếm thật nhiều tiền,"Lâm Đồng, Vietnam"
VTrngHien,,
NguynHoiThanh20,,
Navi38194927,Navi,Cambodia
VoHoangVu17,,
Nm31748201,,
HongGam02021997,😃😃😃😃,
LeQuynh82,,Vietnam
HuaVy1,,
streamer_Tuan,"Gamer lol streamer lol
youtube : https://t.co/0Qqdksaf7A",Châu Á
TriuNguyn14,,
ngHThng3,Freedom ☘☘☘,Việt Nam
AsmNgan,YoonTaestan ❤️,Việt Nam
sai_chau,,
tuyen44445555,,
DATDO_14,,
Hongphamvan200,,Vietnam
NguynThngThnh1,,
kav_kai,,
Nguynvn80427697,Âm nhạc Giải Trí Phim Hài hước,
vlogs_pl,sinh viên it,"Hanoi, Vietnam"
LanAnhN01515981,,
Ngthgiang6,,
hajka12,,
flame_horizon,,
danh41246700,,
baocaosudanang,Shop Bao Cao Su Đà Nẵng. Địa chỉ: 352 Trưng Nữ Vương-Quận Hải Châu. Giao hàng tận nơi. Hotline/zalo: 0915.694.295. website: https://t.co/vNqOZTUWBN 😍,"Da Nang, Vietnam"
KaraokeOnline3,,
NguynVn04519690,,
trankimtruc2003,,Việt Nam
NgocDie12683095,,Vietnam
TranAnh79704072,,
tanphat091992,Không có gì.,"Quy Nhơn, Việt Nam "
NguynTr03402027,,
bofsipjhuwowngf,はじまりはいつでも遅くないさ,"Hà Nội, Việt Nam"
NguynQu86434285,,
vouu0312,,
PGgates1,,United Kingdom
Hungmocmoc,Quá buồn và chán,"Hanoi, Vietnam"
hongtru45240622,"Đứng giữa vạn người, vẫn thấy tim mình lạnh. Cái cô đơn đó, bạn đã từng trải qua chưa?...",
NCP1311990,làn khói trắng,Vietnam
Kimanh48255548,Công nghệ & Khoa học Bình luận Thể thao Âm nhạc Chính phủ & Chính trị Công nghệ & Khoa học Bình luận Thể thao Âm nhạc Âm nhạc Âm nhạc Bình luận Thể thao ryyd,Vietnam
TngThinTuyt1,,Trà Vinh
onigiriLOVE0,将来の夢は、おにぎりになること。,
HungNina2911,Chuyên Viên Tư Vấn - Thiết Kế Website - Website PHP - Doman - Hotsting - Seo,"Ho Chi Minh, Vietnam"
oanhoanhoanh95,,"Hanoi, Vietnam"
HoangDung231,,Vietnam
Ngoc_Thau,,"Ho Chi Minh, Vietnam"
parishatong,,
Tuan01693718865,😊😊p,"Ho Chi Minh, Vietnam"
VVnThanh8,Võ văn thanh,Vietnam
LamBangGia,"làm bằng giả, làm bằng đại học, làm bằng thạc sĩ, làm bằng cao đẳng, làm bằng TOEIC chất lượng và uy tín là số 1
Hotline: 0933769362","làm bằng giả, làm bằng đại học, làm bằng thạc sĩ, làm bằng cao đẳng, làm bằng TOEIC chất lượng và uy tín là số 1
Hotline: 0933769362"
PhanTrngHuy2,"Bd bo họ tên : Phan Trọng Huy
Sinh nhật :10/12/2001
^_^.         .¢_¢","Bình Định, Vietnam"
lequochungub,Âm nhạc Chính phủ & Chính trị Chính trị Cơ quan & Quan chức Chính phủ Thể thao Tin tức,"Hanoi, Vietnam"
l9530gmailcom2,,
viprong1,,
vuhongthai_ltd,,
lam16768,,
truongzuly,,
dangkim3,,
Cherryo00430968,,Việt nam định quán
timlaibautroi6,,
NguyenQuynh1996,,"Hanoi, Vietnam"
VuVanDang8,Het tien,Cai Dang
vanhoangyt238,Khiếp sợ quá khứ 😞😞😞,"Thái Bình, Vietnam"
